,cm,accuracy,ps,rs,f1,time_taken
GaussianNB,"[[404 482]
 [120 517]]",0.604727511,0.517517518,0.811616954,0.63202934,3.622328064
DecisionTree,"[[701 185]
 [199 438]]",0.747866054,0.703049759,0.687598116,0.695238095,35.38691758
XGBClassifier,"[[818  68]
 [259 378]]",0.785292186,0.847533632,0.593406593,0.698060942,109.8974268
Ridge,"[[765 121]
 [206 431]]",0.785292186,0.780797101,0.676609105,0.724978974,14.46924522
LogisticRegression,"[[777 109]
 [194 443]]",0.801050558,0.802536232,0.69544741,0.745164003,7.398193556
knn,"[[861  25]
 [410 227]]",0.714379514,0.900793651,0.356357928,0.510686164,286.2978901
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,0.751892,First Try,,,
,,,,,,
,LR,0.749158,with disastrous and many featyres,,,
,,,,,,
,,0.740369,with lesser features,,,
,,,,,,
,,0.75021,with 13000 features + added features,,,
,,,,,,
,,0.748528,with only 13000 features,,,
,,,,,,
,,,,,,
,,0.746622,with count + 13000 features,,,
,,,,,,
,,0.747885,with all columns + count + contains_word,,,
,,,,,,
,,0.748943,with all columns + count,,,
,,,,,,
,,0.748735,with 13000 + count,,,
,,,,,,
,,0.723894,with tf idf vectorizer,,,
,,,,,,
,,0.752791,Multinomial NB,,,
,,,,,,
,,0.75641,Multinomial NB with correct column selections,,,
